sequence_index,profile_id,profile_slug,resource_action_count,exact_action_count,proxy_action_count,reuse_hit_count,reuse_hit_rate,fresh_median_ms,reuse_median_ms,saved_ms,speedup_ratio,cleanup_ms,reuse_safe,pollution_failure_count,correctness_mismatch_count,task_status,notes
22,swesmith/GitbookIO__gitbook.81f8ddcf,GitbookIO__gitbook.81f8ddcf,7,2,5,7,1.0,205942.34892800002,247.538959,205694.80996900002,831.9593398952608,0.0,True,0,0,pass_with_proxy_fallbacks,5 proxy action(s) used same-kind representative costs
23,swesmith/homebridge__homebridge.3a341e08,homebridge__homebridge.3a341e08,7,6,1,7,1.0,94088.661096,1908.931606,92179.72949,49.288649630121945,0.0,True,0,0,pass_with_proxy_fallbacks,1 proxy action(s) used same-kind representative costs
24,swesmith/humanlayer__12-factor-agents.d20c7283,humanlayer__12-factor-agents.d20c7283,5,5,0,5,1.0,1974.357667,19.643387,1954.71428,100.510042743647,0.0,True,0,0,pass,exact object-backed path only
25,swesmith/iamkun__dayjs.c8a26460,iamkun__dayjs.c8a26460,8,6,2,8,1.0,109759.635758,6143.769772999999,103615.86598500001,17.86519349086944,0.0,True,0,0,pass_with_proxy_fallbacks,2 proxy action(s) used same-kind representative costs
26,swesmith/jantimon__html-webpack-plugin.9a39db80,jantimon__html-webpack-plugin.9a39db80,8,4,4,8,1.0,212441.11404100002,366.01449600000007,212075.09954500003,580.4172139701265,0.0,True,0,0,pass_with_proxy_fallbacks,4 proxy action(s) used same-kind representative costs
27,swesmith/jaredpalmer__formik.91475adb,jaredpalmer__formik.91475adb,8,5,3,8,1.0,191785.75443200002,366.620284,191419.134148,523.1182310469216,0.0,True,0,0,pass_with_proxy_fallbacks,3 proxy action(s) used same-kind representative costs
28,swesmith/josdejong__jsoneditor.0319b213,josdejong__jsoneditor.0319b213,8,7,1,8,1.0,105742.98291600001,12616.439758,93126.54315800001,8.381364707024348,0.0,True,0,0,pass_with_proxy_fallbacks,1 proxy action(s) used same-kind representative costs
29,swesmith/josdejong__mathjs.04e6e2d7,josdejong__mathjs.04e6e2d7,10,7,3,10,1.0,54163.102719999995,31158.447607000002,23004.655112999993,1.7383119789264407,0.0,True,0,0,pass_with_proxy_fallbacks,3 proxy action(s) used same-kind representative costs
30,swesmith/marko-js__marko.24b9402c,marko-js__marko.24b9402c,9,4,5,9,1.0,213684.18450499998,513.213347,213170.97115799997,416.36521293550845,0.0,True,0,0,pass_with_proxy_fallbacks,5 proxy action(s) used same-kind representative costs
31,swesmith/marmelab__react-admin.823caa0b,marmelab__react-admin.823caa0b,8,4,4,8,1.0,129652.64712199998,177.677977,129474.96914499998,729.7057818369914,0.0,True,0,0,pass_with_proxy_fallbacks,4 proxy action(s) used same-kind representative costs
32,swesmith/mholt__PapaParse.b10b87ef,mholt__PapaParse.b10b87ef,6,4,2,6,1.0,33280.241506,133.246891,33146.994614999996,249.7637374968846,0.0,True,0,0,pass_with_proxy_fallbacks,2 proxy action(s) used same-kind representative costs
33,swesmith/microsoft__vscode.4166e90a,microsoft__vscode.4166e90a,10,5,5,10,1.0,198370.398816,612.918632,197757.48018400001,323.648831115971,0.0,True,0,0,pass_with_proxy_fallbacks,5 proxy action(s) used same-kind representative costs
34,swesmith/mochajs__mocha.410ce0d2,mochajs__mocha.410ce0d2,10,4,6,10,1.0,308609.88993,476.80501499999997,308133.084915,647.2454781751824,0.0,True,0,0,pass_with_proxy_fallbacks,6 proxy action(s) used same-kind representative costs
35,swesmith/NativeScript__NativeScript.3d6a4392,NativeScript__NativeScript.3d6a4392,7,6,1,6,0.8571428571428571,98816.701317,203.42780599999998,98613.27351099999,485.75808420703316,0.0,True,0,0,pass_with_proxy_fallbacks,1 proxy action(s) used same-kind representative costs; 1 action(s) remained cold or proxy-backed
36,swesmith/necolas__react-native-web.a9de220b,necolas__react-native-web.a9de220b,6,4,2,6,1.0,33267.199436,140.54743299999998,33126.652003,236.69731083597952,0.0,True,0,0,pass_with_proxy_fallbacks,2 proxy action(s) used same-kind representative costs
37,swesmith/nestjs__nest.346c9543,nestjs__nest.346c9543,11,4,7,11,1.0,392507.021547,631.18071,391875.840837,621.8615609260302,0.0,True,0,0,pass_with_proxy_fallbacks,7 proxy action(s) used same-kind representative costs
38,swesmith/Netflix__falcor.39d64776,Netflix__falcor.39d64776,7,4,3,7,1.0,122847.33486199999,253.136326,122594.19853599998,485.30108974561,0.0,True,0,0,pass_with_proxy_fallbacks,3 proxy action(s) used same-kind representative costs
39,swesmith/nightwatchjs__nightwatch.54c8550c,nightwatchjs__nightwatch.54c8550c,7,6,1,6,0.8571428571428571,11062.395537,233.961131,10828.434406,47.28304864024614,0.0,True,0,0,pass_with_proxy_fallbacks,1 proxy action(s) used same-kind representative costs; 1 action(s) remained cold or proxy-backed
40,swesmith/nock__nock.e7418da2,nock__nock.e7418da2,7,6,1,7,1.0,11417.271387,681.991543,10735.279844,16.741074730599703,0.0,True,0,0,pass_with_proxy_fallbacks,1 proxy action(s) used same-kind representative costs
41,swesmith/novnc__noVNC.d44f7e04,novnc__noVNC.d44f7e04,6,4,2,6,1.0,33245.95589,18.556122,33227.399767999996,1791.6435282113364,0.0,True,0,0,pass_with_proxy_fallbacks,2 proxy action(s) used same-kind representative costs
42,swesmith/OpenCut-app__OpenCut.e84c0cfd,OpenCut-app__OpenCut.e84c0cfd,6,2,4,6,1.0,116346.62364999998,128.79785600000002,116217.82579399997,903.3273321723613,0.0,True,0,0,pass_with_proxy_fallbacks,4 proxy action(s) used same-kind representative costs
43,swesmith/payloadcms__payload.8f660355,payloadcms__payload.8f660355,12,8,4,10,0.8333333333333334,199383.858798,7682.801597,191701.057201,25.951972894348323,0.0,True,0,0,pass_with_proxy_fallbacks,4 proxy action(s) used same-kind representative costs; 2 action(s) remained cold or proxy-backed
44,swesmith/react-hook-form__react-hook-form.3adba2b8,react-hook-form__react-hook-form.3adba2b8,10,4,6,10,1.0,219786.883544,484.25633700000003,219302.627207,453.86475457521993,0.0,True,0,0,pass_with_proxy_fallbacks,6 proxy action(s) used same-kind representative costs
45,swesmith/ReactiveX__rxjs.c15b37f8,ReactiveX__rxjs.c15b37f8,6,5,1,6,1.0,116337.48752499999,143.65849,116193.82903499999,809.8197852768743,0.0,True,0,0,pass_with_proxy_fallbacks,1 proxy action(s) used same-kind representative costs
46,swesmith/reactjs__react-transition-group.2989b5b8,reactjs__react-transition-group.2989b5b8,9,4,5,9,1.0,302035.818693,480.942334,301554.876359,628.0083854980419,0.0,True,0,0,pass_with_proxy_fallbacks,5 proxy action(s) used same-kind representative costs
47,swesmith/Redocly__redoc.d41fd46f,Redocly__redoc.d41fd46f,9,4,5,9,1.0,218996.29173800003,367.51373900000004,218628.77799900004,595.8859996197313,0.0,True,0,0,pass_with_proxy_fallbacks,5 proxy action(s) used same-kind representative costs
48,swesmith/redux-saga__redux-saga.a4ace10d,redux-saga__redux-saga.a4ace10d,7,5,2,7,1.0,105874.15757,251.824297,105622.333273,420.4286831385456,0.0,True,0,0,pass_with_proxy_fallbacks,2 proxy action(s) used same-kind representative costs
49,swesmith/refined-github__refined-github.d4a7c3fb,refined-github__refined-github.d4a7c3fb,8,7,1,8,1.0,16489.027946000002,6960.3997930000005,9528.628153000001,2.368977132977741,0.0,True,0,0,pass_with_proxy_fallbacks,1 proxy action(s) used same-kind representative costs
50,swesmith/remy__nodemon.daad5c16,remy__nodemon.daad5c16,6,5,1,6,1.0,9614.937541,135.84377500000002,9479.093766,70.77937535967325,0.0,True,0,0,pass_with_proxy_fallbacks,1 proxy action(s) used same-kind representative costs
51,swesmith/segmentio__evergreen.9b774aee,segmentio__evergreen.9b774aee,9,4,5,9,1.0,302086.673598,495.57248899999996,301591.10110900004,609.5711128105015,0.0,True,0,0,pass_with_proxy_fallbacks,5 proxy action(s) used same-kind representative costs
52,swesmith/Shopify__draggable.8a1eed57,Shopify__draggable.8a1eed57,9,8,1,9,1.0,100698.99570999999,6683.077537,94015.91817299998,15.067758102834052,0.0,True,0,0,pass_with_proxy_fallbacks,1 proxy action(s) used same-kind representative costs
53,swesmith/strapi__strapi.e5b87a54,strapi__strapi.e5b87a54,8,4,4,8,1.0,123901.37979299999,365.532058,123535.84773499999,338.9617328529909,0.0,True,0,0,pass_with_proxy_fallbacks,4 proxy action(s) used same-kind representative costs
54,swesmith/sveltejs__svelte.6c9717a9,sveltejs__svelte.6c9717a9,7,6,1,7,1.0,94592.34188200001,3032.318237,91560.02364500001,31.194727759044245,0.0,True,0,0,pass_with_proxy_fallbacks,1 proxy action(s) used same-kind representative costs
55,swesmith/svg__svgo.c06d8f68,svg__svgo.c06d8f68,8,4,4,8,1.0,212461.69365600002,252.46425699999998,212209.229399,841.551577164446,0.0,True,0,0,pass_with_proxy_fallbacks,4 proxy action(s) used same-kind representative costs
56,swesmith/tinacms__tinacms.dffb104f,tinacms__tinacms.dffb104f,8,6,2,8,1.0,120049.494205,1438.4414279999999,118611.05277699999,83.4580344170955,0.0,True,0,0,pass_with_proxy_fallbacks,2 proxy action(s) used same-kind representative costs
57,swesmith/trpc__trpc.2f40ba93,trpc__trpc.2f40ba93,9,6,3,9,1.0,218542.677193,10127.948735,208414.728458,21.578177665706757,0.0,True,0,0,pass_with_proxy_fallbacks,3 proxy action(s) used same-kind representative costs
58,swesmith/ueberdosis__tiptap.2d6de06c,ueberdosis__tiptap.2d6de06c,9,7,2,9,1.0,170720.03404300002,7666.516232,163053.51781100003,22.26826747335582,0.0,True,0,0,pass_with_proxy_fallbacks,2 proxy action(s) used same-kind representative costs
59,swesmith/umijs__qiankun.693cdde7,umijs__qiankun.693cdde7,6,4,2,6,1.0,116299.445004,251.049521,116048.395483,463.25300498780877,0.0,True,0,0,pass_with_proxy_fallbacks,2 proxy action(s) used same-kind representative costs
60,swesmith/vitejs__vite.8b47ff76,vitejs__vite.8b47ff76,7,5,2,7,1.0,98688.03975899999,271.975862,98416.06389699999,362.8558763755292,0.0,True,0,0,pass_with_proxy_fallbacks,2 proxy action(s) used same-kind representative costs
61,swesmith/voideditor__void.17e7a5b1,voideditor__void.17e7a5b1,11,6,5,11,1.0,215602.689266,12047.882770999999,203554.806495,17.895483659997844,0.0,True,0,0,pass_with_proxy_fallbacks,5 proxy action(s) used same-kind representative costs
62,swesmith/webpack__webpack.24e3c2d2,webpack__webpack.24e3c2d2,8,7,1,7,0.875,99413.338794,2267.799869,97145.538925,43.83691001703643,0.0,True,0,0,pass_with_proxy_fallbacks,1 proxy action(s) used same-kind representative costs; 1 action(s) remained cold or proxy-backed
63,swesmith/websockets__ws.726c3732,websockets__ws.726c3732,6,4,2,6,1.0,33230.203901,133.349877,33096.854024,249.1956096892388,0.0,True,0,0,pass_with_proxy_fallbacks,2 proxy action(s) used same-kind representative costs
64,swesmith/welldone-software__why-did-you-render.3ec3512d,welldone-software__why-did-you-render.3ec3512d,8,4,4,8,1.0,129391.99728099999,135.022891,129256.97438999999,958.2967474826177,0.0,True,0,0,pass_with_proxy_fallbacks,4 proxy action(s) used same-kind representative costs
