profile_id,owner,repo,dependency_root,package_manager,package_manager_version,classification,resolution_source,source_lockfile,resolved_lockfile,lockfile_changed,resolve_elapsed_ms,exit_code
swesmith/axios__axios.ef36347f,axios,axios,.,npm,9.2.0,existing_requires_resolution,native_resolver,package-lock.json,resolved-lockfiles/root/package-lock.json,False,26833,0
swesmith/babel__babel.2ea3fc8f,babel,babel,.,yarn,4.9.1,existing_requires_resolution,native_resolver,yarn.lock,resolved-lockfiles/root/yarn.lock,False,1246,0
swesmith/balderdashy__sails.ffebacc5,balderdashy,sails,.,npm,9.2.0,missing_requires_resolution,native_resolver,,resolved-lockfiles/root/package-lock.json,True,53405,0
swesmith/bluesky-social__social-app.cbd48c85,bluesky-social,social-app,.,yarn,1.22.22,existing_requires_resolution,native_resolver,yarn.lock,resolved-lockfiles/root/yarn.lock,False,323003,0
swesmith/bootstrap-vue__bootstrap-vue.9a246f45,bootstrap-vue,bootstrap-vue,.,yarn,,authoritative_existing,existing_lockfile,yarn.lock,resolved-lockfiles/root/yarn.lock,False,3,0
swesmith/bpampuch__pdfmake.719e7314,bpampuch,pdfmake,.,npm,9.2.0,missing_requires_resolution,native_resolver,,resolved-lockfiles/root/package-lock.json,True,22528,0
swesmith/brianc__node-postgres.ecff60dc,brianc,node-postgres,.,yarn,1.22.22,existing_requires_resolution,native_resolver,yarn.lock,resolved-lockfiles/root/yarn.lock,False,12301,0
swesmith/caolan__async.23dbf76a,caolan,async,.,npm,9.2.0,existing_requires_resolution,native_resolver,package-lock.json,resolved-lockfiles/root/package-lock.json,False,11854,0
swesmith/coder__code-server.e90504b8,coder,code-server,.,npm,9.2.0,existing_requires_resolution,native_resolver,package-lock.json,resolved-lockfiles/root/package-lock.json,False,3854,0
swesmith/directus__directus.ac922d18,directus,directus,.,pnpm,10,existing_requires_resolution,native_resolver,pnpm-lock.yaml,resolved-lockfiles/root/pnpm-lock.yaml,False,1474,0
swesmith/emotion-js__emotion.b882bcba,emotion-js,emotion,.,yarn,3.2.3,existing_requires_resolution,native_resolver,yarn.lock,resolved-lockfiles/root/yarn.lock,False,1260,0
swesmith/enzymejs__enzyme.61e1b47c,enzymejs,enzyme,.,npm,9.2.0,missing_requires_resolution,native_resolver,,resolved-lockfiles/root/package-lock.json,True,106779,0
swesmith/fabricjs__fabric.js.6742471c,fabricjs,fabric.js,.,npm,9.2.0,existing_requires_resolution,native_resolver,package-lock.json,resolved-lockfiles/root/package-lock.json,False,5101,0
swesmith/foambubble__foam.2cac8162,foambubble,foam,.,yarn,1.22.22,existing_requires_resolution,native_resolver,yarn.lock,resolved-lockfiles/root/yarn.lock,False,16772,0
swesmith/foliojs__pdfkit.d0108157,foliojs,pdfkit,.,yarn,4.10.3,existing_requires_resolution,native_resolver,yarn.lock,resolved-lockfiles/root/yarn.lock,False,563,0
swesmith/homebridge__homebridge.3a341e08,homebridge,homebridge,.,npm,9.2.0,existing_requires_resolution,native_resolver,package-lock.json,resolved-lockfiles/root/package-lock.json,True,3430,0
swesmith/humanlayer__12-factor-agents.d20c7283,humanlayer,12-factor-agents,packages/walkthroughgen,npm,9.2.0,existing_requires_resolution,native_resolver,package-lock.json,resolved-lockfiles/packages__walkthroughgen/package-lock.json,False,3083,0
swesmith/iamkun__dayjs.c8a26460,iamkun,dayjs,.,npm,9.2.0,existing_requires_resolution,native_resolver,package-lock.json,resolved-lockfiles/root/package-lock.json,False,18338,0
swesmith/jantimon__html-webpack-plugin.9a39db80,jantimon,html-webpack-plugin,.,npm,9.2.0,existing_requires_resolution,native_resolver,package-lock.json,resolved-lockfiles/root/package-lock.json,False,6853,0
swesmith/jaredpalmer__formik.91475adb,jaredpalmer,formik,.,yarn,1.22.22,authoritative_existing,existing_lockfile,yarn.lock,resolved-lockfiles/root/yarn.lock,False,4,0
swesmith/josdejong__jsoneditor.0319b213,josdejong,jsoneditor,.,npm,9.2.0,existing_requires_resolution,native_resolver,package-lock.json,resolved-lockfiles/root/package-lock.json,True,4714,0
swesmith/josdejong__mathjs.04e6e2d7,josdejong,mathjs,.,npm,9.2.0,existing_requires_resolution,native_resolver,package-lock.json,resolved-lockfiles/root/package-lock.json,False,4943,0
swesmith/marko-js__marko.24b9402c,marko-js,marko,.,npm,9.2.0,unsupported_or_manual_review,native_resolver_failed,package-lock.json,,False,763,236
swesmith/marmelab__react-admin.823caa0b,marmelab,react-admin,.,yarn,4.0.2,existing_requires_resolution,native_resolver,yarn.lock,resolved-lockfiles/root/yarn.lock,False,1105,0
swesmith/mholt__PapaParse.b10b87ef,mholt,PapaParse,.,npm,9.2.0,missing_requires_resolution,native_resolver,,resolved-lockfiles/root/package-lock.json,True,9638,0
swesmith/microsoft__vscode.4166e90a,microsoft,vscode,.,npm,9.2.0,existing_requires_resolution,native_resolver,package-lock.json,resolved-lockfiles/root/package-lock.json,False,15013,0
swesmith/mochajs__mocha.410ce0d2,mochajs,mocha,.,npm,9.2.0,existing_requires_resolution,native_resolver,package-lock.json,resolved-lockfiles/root/package-lock.json,True,14262,0
swesmith/necolas__react-native-web.a9de220b,necolas,react-native-web,.,npm,9.2.0,existing_requires_resolution,native_resolver,package-lock.json,resolved-lockfiles/root/package-lock.json,False,20922,0
swesmith/nestjs__nest.346c9543,nestjs,nest,.,npm,9.2.0,existing_requires_resolution,native_resolver,package-lock.json,resolved-lockfiles/root/package-lock.json,True,32475,0
swesmith/nightwatchjs__nightwatch.54c8550c,nightwatchjs,nightwatch,.,npm,9.2.0,existing_requires_resolution,native_resolver,package-lock.json,resolved-lockfiles/root/package-lock.json,False,31933,0
swesmith/nock__nock.e7418da2,nock,nock,.,npm,9.2.0,existing_requires_resolution,native_resolver,package-lock.json,resolved-lockfiles/root/package-lock.json,True,16340,0
swesmith/novnc__noVNC.d44f7e04,novnc,noVNC,.,npm,9.2.0,missing_requires_resolution,native_resolver,,resolved-lockfiles/root/package-lock.json,True,12086,0
swesmith/payloadcms__payload.8f660355,payloadcms,payload,.,pnpm,10.27.0,existing_requires_resolution,native_resolver,pnpm-lock.yaml,resolved-lockfiles/root/pnpm-lock.yaml,False,1114,0
swesmith/react-hook-form__react-hook-form.3adba2b8,react-hook-form,react-hook-form,.,pnpm,9.15.5,existing_requires_resolution,native_resolver,pnpm-lock.yaml,resolved-lockfiles/root/pnpm-lock.yaml,False,510,0
swesmith/reactjs__react-transition-group.2989b5b8,reactjs,react-transition-group,.,npm,9.2.0,existing_requires_resolution,native_resolver,yarn.lock,resolved-lockfiles/root/package-lock.json,True,369942,0
swesmith/redux-saga__redux-saga.a4ace10d,redux-saga,redux-saga,.,yarn,1.22.22,authoritative_existing,existing_lockfile,yarn.lock,resolved-lockfiles/root/yarn.lock,False,3,0
swesmith/refined-github__refined-github.d4a7c3fb,refined-github,refined-github,.,npm,,authoritative_existing,existing_lockfile,package-lock.json,resolved-lockfiles/root/package-lock.json,False,5,0
swesmith/remy__nodemon.daad5c16,remy,nodemon,.,npm,9.2.0,existing_requires_resolution,native_resolver,package-lock.json,resolved-lockfiles/root/package-lock.json,False,12396,0
swesmith/segmentio__evergreen.9b774aee,segmentio,evergreen,.,yarn,,authoritative_existing,existing_lockfile,yarn.lock,resolved-lockfiles/root/yarn.lock,False,3,0
swesmith/strapi__strapi.e5b87a54,strapi,strapi,.,yarn,4.12.0,authoritative_existing,existing_lockfile,yarn.lock,resolved-lockfiles/root/yarn.lock,False,4,0
swesmith/sveltejs__svelte.6c9717a9,sveltejs,svelte,.,pnpm,10.4.0,existing_requires_resolution,native_resolver,pnpm-lock.yaml,resolved-lockfiles/root/pnpm-lock.yaml,False,950,0
swesmith/svg__svgo.c06d8f68,svg,svgo,.,yarn,3.8.7,existing_requires_resolution,native_resolver,yarn.lock,resolved-lockfiles/root/yarn.lock,False,1132,0
swesmith/tinacms__tinacms.dffb104f,tinacms,tinacms,.,pnpm,9.15.5,existing_requires_resolution,native_resolver,pnpm-lock.yaml,resolved-lockfiles/root/pnpm-lock.yaml,False,646,0
swesmith/trpc__trpc.2f40ba93,trpc,trpc,.,pnpm,9.12.2,existing_requires_resolution,native_resolver,pnpm-lock.yaml,resolved-lockfiles/root/pnpm-lock.yaml,False,1213,0
swesmith/ueberdosis__tiptap.2d6de06c,ueberdosis,tiptap,.,pnpm,9.15.4,existing_requires_resolution,native_resolver,pnpm-lock.yaml,resolved-lockfiles/root/pnpm-lock.yaml,False,1103,0
swesmith/umijs__qiankun.693cdde7,umijs,qiankun,.,pnpm,9.15.0,existing_requires_resolution,native_resolver,pnpm-lock.yaml,resolved-lockfiles/root/pnpm-lock.yaml,False,962,0
swesmith/vitejs__vite.8b47ff76,vitejs,vite,.,pnpm,10.28.2,authoritative_existing,existing_lockfile,pnpm-lock.yaml,resolved-lockfiles/root/pnpm-lock.yaml,False,100,0
swesmith/voideditor__void.17e7a5b1,voideditor,void,.,npm,9.2.0,existing_requires_resolution,native_resolver,package-lock.json,resolved-lockfiles/root/package-lock.json,False,15159,0
swesmith/webpack__webpack.24e3c2d2,webpack,webpack,.,yarn,1.22.22,existing_requires_resolution,native_resolver,yarn.lock,resolved-lockfiles/root/yarn.lock,False,14832,0
swesmith/websockets__ws.726c3732,websockets,ws,.,npm,9.2.0,missing_requires_resolution,native_resolver,,resolved-lockfiles/root/package-lock.json,True,21499,0
swesmith/welldone-software__why-did-you-render.3ec3512d,welldone-software,why-did-you-render,.,yarn,1.22.22,existing_requires_resolution,native_resolver,yarn.lock,resolved-lockfiles/root/yarn.lock,False,7304,0
