profile_id,dependency_root,package_manager,package_manager_version,classification,resolution_source,source_lockfile,resolved_lockfile,lockfile_changed,resolve_elapsed_ms,normalize_elapsed_ms,validation_elapsed_ms,exit_code
swesmith/NativeScript__NativeScript.3d6a4392,.,npm,9.2.0,existing_requires_resolution,native_resolver,package-lock.json,resolved-lockfiles/root/package-lock.json,False,47411,37,2,0
swesmith/necolas__react-native-web.a9de220b,.,npm,9.2.0,existing_requires_resolution,native_resolver,package-lock.json,resolved-lockfiles/root/package-lock.json,False,342130,6,16282,0
swesmith/nestjs__nest.346c9543,.,npm,9.2.0,existing_requires_resolution,native_resolver,package-lock.json,resolved-lockfiles/root/package-lock.json,True,304095,22,45436,0
swesmith/Netflix__falcor.39d64776,.,npm,,unsupported_or_manual_review,invalid_source_lockfile,package-lock.json,,False,1,2,3,
swesmith/nightwatchjs__nightwatch.54c8550c,.,npm,9.2.0,existing_requires_resolution,native_resolver,package-lock.json,resolved-lockfiles/root/package-lock.json,False,303491,8,10457,0
swesmith/nock__nock.e7418da2,.,npm,9.2.0,existing_requires_resolution,native_resolver,package-lock.json,resolved-lockfiles/root/package-lock.json,True,250699,9,5565,0
swesmith/novnc__noVNC.d44f7e04,.,npm,9.2.0,missing_requires_resolution,native_resolver,,resolved-lockfiles/root/package-lock.json,True,440561,5,3147,0
swesmith/OpenCut-app__OpenCut.e84c0cfd,.,bun,1.2.18,existing_requires_resolution,native_resolver,bun.lock,resolved-lockfiles/root/bun.lock,False,630,1739,1184,0
swesmith/payloadcms__payload.8f660355,.,pnpm,10.27.0,existing_requires_resolution,native_resolver,pnpm-lock.yaml,resolved-lockfiles/root/pnpm-lock.yaml,False,4368,1267,8011,0
swesmith/react-hook-form__react-hook-form.3adba2b8,.,pnpm,9.15.5,existing_requires_resolution,native_resolver,pnpm-lock.yaml,resolved-lockfiles/root/pnpm-lock.yaml,False,481,374,64098,0
swesmith/ReactiveX__rxjs.c15b37f8,.,yarn,1.22.21,authoritative_existing,existing_lockfile,yarn.lock,resolved-lockfiles/root/yarn.lock,False,3,31,4025,0
swesmith/reactjs__react-transition-group.2989b5b8,.,npm,9.2.0,unsupported_or_manual_review,native_resolver_failed,yarn.lock,,False,2090,1,3,1
swesmith/Redocly__redoc.d41fd46f,.,npm,9.2.0,existing_requires_resolution,native_resolver,package-lock.json,resolved-lockfiles/root/package-lock.json,False,302374,15,2,0
swesmith/redux-saga__redux-saga.a4ace10d,.,yarn,1.22.22,authoritative_existing,existing_lockfile,yarn.lock,resolved-lockfiles/root/yarn.lock,False,2,21,53901,0
swesmith/refined-github__refined-github.d4a7c3fb,.,npm,,authoritative_existing,existing_lockfile,package-lock.json,resolved-lockfiles/root/package-lock.json,False,4,6,456,0
swesmith/remy__nodemon.daad5c16,.,npm,9.2.0,existing_requires_resolution,native_resolver,package-lock.json,resolved-lockfiles/root/package-lock.json,False,218865,5,3410,0
swesmith/segmentio__evergreen.9b774aee,.,yarn,,authoritative_existing,existing_lockfile,yarn.lock,resolved-lockfiles/root/yarn.lock,False,2,47,15563,0
swesmith/Shopify__draggable.8a1eed57,.,yarn,1.22.22,existing_requires_resolution,native_resolver,yarn.lock,resolved-lockfiles/root/yarn.lock,False,30357,13,14107,0
swesmith/strapi__strapi.e5b87a54,.,yarn,4.12.0,authoritative_existing,existing_lockfile,yarn.lock,resolved-lockfiles/root/yarn.lock,False,4,32,10792,0
swesmith/sveltejs__svelte.6c9717a9,.,pnpm,10.4.0,existing_requires_resolution,native_resolver,pnpm-lock.yaml,resolved-lockfiles/root/pnpm-lock.yaml,False,1289,185,2425,0
swesmith/svg__svgo.c06d8f68,.,yarn,3.8.7,existing_requires_resolution,native_resolver,yarn.lock,resolved-lockfiles/root/yarn.lock,False,2775,6,1532,0
swesmith/tinacms__tinacms.dffb104f,.,pnpm,9.15.5,existing_requires_resolution,native_resolver,pnpm-lock.yaml,resolved-lockfiles/root/pnpm-lock.yaml,False,640,1356,4507,0
swesmith/trpc__trpc.2f40ba93,.,pnpm,9.12.2,existing_requires_resolution,native_resolver,pnpm-lock.yaml,resolved-lockfiles/root/pnpm-lock.yaml,False,2701,1995,5672,0
swesmith/ueberdosis__tiptap.2d6de06c,.,pnpm,9.15.4,existing_requires_resolution,native_resolver,pnpm-lock.yaml,resolved-lockfiles/root/pnpm-lock.yaml,False,1093,603,4495,0
swesmith/umijs__qiankun.693cdde7,.,pnpm,9.15.0,existing_requires_resolution,native_resolver,pnpm-lock.yaml,resolved-lockfiles/root/pnpm-lock.yaml,False,2314,651,4484,0
swesmith/vitejs__vite.8b47ff76,.,pnpm,10.28.2,authoritative_existing,existing_lockfile,pnpm-lock.yaml,resolved-lockfiles/root/pnpm-lock.yaml,False,1,596,4554,0
swesmith/voideditor__void.17e7a5b1,.,npm,9.2.0,existing_requires_resolution,native_resolver,package-lock.json,resolved-lockfiles/root/package-lock.json,False,22112,16,33670,0
swesmith/webpack__webpack.24e3c2d2,.,yarn,1.22.22,unsupported_or_manual_review,native_resolver_failed,yarn.lock,,False,110323,16,4,1
swesmith/websockets__ws.726c3732,.,npm,9.2.0,missing_requires_resolution,native_resolver,,resolved-lockfiles/root/package-lock.json,True,345715,2,1585,0
swesmith/welldone-software__why-did-you-render.3ec3512d,.,yarn,1.22.22,unsupported_or_manual_review,native_resolver_failed,yarn.lock,,False,51868,12,2,1
